speed_limit,speed,licence_plate
40,26,I0M 5639
70,50,G8X 7335
90,80,D3I 7062
80,62,C3L 8757
70,50,J0Y 3515
50,35,E0A 7655
40,28,C5R 6392
60,48,U5I 0070
150,137,Q7W 7264
70,57,U6U 0665
150,149,G5M 7609
130,121,B1O 1860
50,44,R6F 8904
70,62,Y7Q 9377
50,42,A6I 2651
140,126,Q9N 4335
40,34,T1F 4455
130,122,M8I 9240
110,96,D8Y 8540
90,72,X2F 1940
60,55,Y7E 6888
90,75,G9F 5183
40,29,C7D 0784
40,35,O3E 7750
150,137,F7J 8287
150,132,L9Z 6527
120,108,P9F 7702
150,149,H3R 0929
100,93,P5Y 8741
60,58,R3M 0833
100,81,J6Q 6598
150,132,J4U 3481
40,29,C7F 0537
110,95,I2M 8383
70,64,T1D 4693
60,59,B8X 4945
140,136,B2X 1910
80,64,D0S 5562
110,96,L0L 7872
150,146,D8M 8447
80,77,U1D 4340
90,76,X6E 8214
130,128,K6G 7359
150,141,T3G 8834
90,73,N1A 8873
140,134,U5U 6946
110,109,H9S 1437
80,73,O8C 1678
150,146,W0R 7895
100,96,Z7F 7375
50,47,G8I 1107
40,39,Z3Y 8921
90,72,K2R 4179
40,24,O3K 5590
60,49,P2B 0352
130,124,Z9D 3651
110,109,L5A 1376
120,113,G1A 3113
50,39,Q9O 9745
70,55,K6Y 7752
110,101,F4S 2247
50,42,B9A 7804
60,40,K8Y 1474
80,70,G5F 1787
110,90,M1B 1206
150,140,H3O 0950
130,118,C8D 1492
70,64,O1S 0872
80,78,V8D 5408
150,138,D7K 1216
80,71,L0C 9516
110,93,X0D 5353
130,116,X2T 2481
110,92,L5G 6480
150,131,S3T 9668
140,140,C9I 3344
60,59,N7T 3125
70,68,F5T 9271
130,120,B4I 2779
40,27,X2Z 7019
60,45,X7B 1387
80,76,N4G 2783
50,40,H7D 4341
100,89,I9Y 7564
50,43,S4W 6419
110,91,M5R 3453
90,77,S3I 9971
60,56,M2V 8630
70,66,C3E 2442
70,59,G7F 4569
40,32,H4O 2332
130,115,F9K 5036
150,140,F0Y 8890
80,77,H8L 7301
50,35,A5C 0837
130,114,S0O 0988
40,26,M0D 2228
70,59,L7N 8851
100,89,D9G 4350
140,121,H0T 3402
130,123,J5L 3941
90,85,J9Q 1345
40,38,D7K 6189
140,134,G6H 1226
140,138,N5W 3294
80,67,K4S 9086
40,38,A0X 4525
60,47,K3T 1371
50,39,Z1F 9165
150,131,O6C 1405
150,149,W9O 9001
80,72,W7Y 6352
120,106,Z5D 8070
100,91,T9J 8514
140,120,T8I 5706
70,56,G4O 1744
60,48,Z2G 1095
150,132,Z5L 3688
130,117,P5B 0874
80,61,T3N 3663
70,52,V5M 7271
70,59,M6S 4995
50,41,C0K 7939
50,39,N1T 2368
80,61,S4D 6680
140,140,L0R 7320
130,118,U7S 2266
130,112,T5A 7951
50,35,K7R 2828
70,67,T3V 8945
140,121,S6W 4976
120,104,K5V 1492
50,49,I1Z 3855
60,57,L4G 4787
120,102,R2I 6475
90,73,U1U 2645
70,54,E8K 7445
140,129,R0L 2605
150,139,V4Z 6824
60,47,Y9E 8537
100,84,A0G 2059
60,55,G3W 5516
130,118,Z7J 0407
40,22,K8A 2260
60,40,Q8E 2702
90,70,E1D 0529
150,140,J1K 7555
120,108,I3U 2335
60,57,L2C 0869
90,89,A5W 0356
70,52,F8A 3899
130,118,T2P 1543
150,150,M3P 5651
60,47,V4R 7757
40,31,R5F 3342
140,138,L9N 9120
140,130,Q6T 8243
110,97,T8L 8333
80,72,B4T 1507
70,56,J9P 5804
70,52,P7Q 1171
60,41,M7R 6594
40,20,X5K 3912
50,42,K9E 3064
100,90,B2S 6853
70,52,M5L 3302
130,120,G0F 3920
50,38,Y7Q 0087
60,51,A1G 3235
50,42,B4J 1542
90,86,L7U 4561
130,129,Y3T 1589
60,48,I3C 1164
60,41,K9V 6205
120,120,Y5C 5842
80,68,I5L 0142
110,94,P8F 8686
80,69,I3G 9873
120,117,S8X 5517
120,107,A0S 1139
50,48,P0V 4672
130,125,G7L 7683
150,149,O3H 8424
60,57,C1V 0885
80,73,X7D 0315
140,139,Q4G 0057
140,134,M3C 2754
80,70,D0M 6160
40,21,U6B 2160
90,73,U3N 2651
40,31,U0R 9985
130,130,J0D 9122
100,83,I6W 3920
90,84,C6J 3621
100,81,D0N 3729
90,86,J9D 8525
70,53,T6L 6785
120,109,Q4V 9611
80,62,Y5Y 9046
100,83,R3C 5106
100,100,J7A 4792
120,113,R7R 6584
130,120,Z8Y 3898
90,73,B5E 5688
40,32,U2D 2923
60,54,V3U 3877
130,115,A0N 0938
90,82,R7D 0694
150,134,Q4G 8332
60,53,T6D 0507
130,119,Q1Z 6630
60,46,J6I 1428
80,63,S4G 2123
140,132,Z2Q 7954
90,89,D2E 9099
120,119,P0Z 9714
140,132,V0L 1500
150,143,Q1V 9581
90,79,Z8C 5862
140,125,G8G 3376
150,135,C6I 0437
70,58,S6L 4361
120,115,K4E 6964
110,107,P7X 7863
130,120,Z4I 7021
40,34,X1O 3493
120,120,Q1G 9200
110,108,J7M 2224
50,31,M4H 2820
140,137,E1V 5707
40,26,B4W 7244
60,52,V4D 8810
40,20,P0W 4519
150,150,K9I 5281
120,113,D9J 4663
150,141,B6A 1740
100,95,R5U 9444
70,61,J5D 4413
130,117,Q5U 1581
130,120,T1Y 6078
110,95,N7U 8842
40,35,W5O 1047
150,147,T0H 3945
110,96,L8A 7833
100,85,P5F 1101
120,114,Z2G 0887
70,51,Z9K 6048
120,110,E4Z 7185
100,82,B4Q 4200
60,43,O0F 4439
110,96,H7B 0900
150,136,P6U 3434
140,121,Y2M 0100
100,89,E3G 7669
40,22,G2I 1285
150,135,N7A 0369
120,111,R9M 6367
120,105,R5U 6549
120,112,K4C 5147
100,96,D5Y 8911
60,57,T6F 3826
90,90,V3X 8953
150,146,C2N 6635
130,123,V4A 0772
90,87,Y0A 0156
70,54,B6M 7255
120,112,M2F 1098
110,101,N1D 2561
50,35,A0H 8732
120,109,N9H 6292
130,115,C4Z 5799
70,69,R8F 5987
70,52,K3R 3489
130,130,I2V 1424
100,83,C7F 8097
90,76,E9C 5720
60,47,B8O 4696
90,85,I1J 8802
60,54,E1A 3832
90,72,U0G 7166
70,50,Z3L 0826
140,131,Z0O 2228
70,66,F6G 1123
90,84,W8M 0823
130,110,V9I 5660
150,134,M1O 1411
130,114,P0U 6195
110,93,X2I 7784
100,100,M7D 8177
130,114,L9Y 6928
50,42,Z2B 7034
120,108,D7E 2282
110,105,K3S 2048
50,44,J0X 9676
60,54,X9D 1582
60,47,H7V 3108
110,107,J7L 7697
150,136,U3H 5397
140,136,T7A 3719
70,60,R3I 5110
80,74,U2Y 1057
100,80,A4M 8755
90,87,S6E 7542
60,44,K0V 0829
40,37,E5M 3954
100,82,Z9X 3250
130,118,M4K 4067
40,31,V7N 6453
120,114,Q1I 3674
50,46,N7H 7248
80,60,T5J 9110
140,139,Y3K 1730
80,73,I4Z 8994
130,111,G7H 2113
60,40,K6U 2081
80,78,J0U 3964
80,66,G6B 9932
140,130,N5I 3843
150,135,I2P 5242
40,40,C2R 9638
150,131,T5O 2284
60,60,D3R 4104
100,80,D7K 7445
50,32,K3E 4043
90,76,D9Q 9341
120,113,E2H 6027
50,34,F4W 3557
60,40,N0K 3564
60,54,F2A 0985
80,68,L4D 3987
130,122,K2J 7157
120,100,U5G 0417
90,88,G5R 7905
100,98,Z8O 1329
80,75,D2H 2179
50,45,I3B 7683
110,110,E8N 7370
70,65,J2R 3266
70,71,L2M 8493
100,98,X3F 4463
50,38,M9B 1394
50,49,S1T 0139
80,73,M3R 5564
110,101,P7R 2532
70,52,Y6K 5869
140,120,P1T 9771
100,80,D3M 5765
120,119,T9M 4897
100,97,E9U 5966
50,42,O4D 0290
110,103,Y8V 7310
70,68,N8J 2602
140,120,L2G 4009
40,20,S0V 7761
80,76,D0S 8490
60,43,C0B 3790
150,133,J8D 9295
70,55,I8T 2021
150,132,M3B 9983
130,130,F6V 8797
100,99,J6V 9373
40,28,V4P 0791
130,128,H8X 1530
120,105,Z1W 0791
110,101,C9A 8935
120,117,H3N 3110
100,87,I1R 4547
130,111,C3P 3625
70,58,R7L 7856
100,94,U0O 8906
100,97,A1C 6676
150,137,E4C 8718
110,106,L0Z 7703
150,148,A4D 3559
50,36,E8O 3663
120,100,O9P 8018
90,81,Z5W 2839
80,60,J7L 6556
150,144,T2Z 2234
110,94,F9C 3365
70,50,R1S 5421
90,73,A0H 4507
120,108,W8Z 8056
80,74,D8Z 2870
90,73,W7C 6464
70,57,R7N 4907
80,67,U7Z 2143
40,40,U4J 8695
150,144,H4E 7711
50,44,F6K 4324
60,60,X3Z 8607
120,107,G0M 9957
50,42,W3W 8846
150,141,Q2U 5409
130,110,V9P 9146
100,89,D4D 1941
40,30,N0Z 5143
100,99,Y7J 0172
60,53,Q9V 0719
60,54,T3D 8332
150,132,I2X 2327
60,51,B8I 3595
110,99,X4M 5630
150,144,X7G 5432
150,142,B6M 2599
120,115,O0G 3481
40,36,W5M 8604
50,49,D1D 9813
140,140,T6B 7556
60,43,V8J 3138
100,94,U8M 0728
150,137,K1Q 0730
70,59,D9R 1418
90,72,K6P 2304
90,81,C0X 1092
110,108,I6G 4062
70,67,B9C 9711
150,150,A4F 4385
110,107,R8S 6595
60,46,X3R 3617
80,80,X9S 6988
110,105,E8G 0047
100,97,A6T 5705
60,56,Z2V 1162
90,76,L9S 8318
90,81,N7I 6285
140,128,A8Y 9572
100,84,O9N 8848
110,108,N6B 1666
70,67,P5D 5931
150,136,E3T 6296
80,62,N0P 0964
140,136,Y9B 3644
110,106,Y3G 9691
150,135,P6P 0728
140,127,O6L 4670
70,62,G9N 3545
60,57,Y1J 9611
90,78,H1M 9983
130,113,S0N 6746
40,32,Z1U 0934
70,67,W2B 8521
90,86,S4K 6602
150,137,L1V 0217
100,80,S6Y 5827
40,33,Z3U 7272
130,116,S0I 8705
70,70,N1O 1460
100,84,X1Y 3279
130,117,V5W 0725
50,30,U9Z 0629
70,65,R7N 3959
120,102,E9K 4038
130,130,N5O 8134
130,130,T5P 1307
100,89,D7I 3189
50,45,E0R 4649
130,110,W8J 3946
130,122,H5Z 7102
150,138,A6Q 7716
90,72,R0Z 0642
80,66,Z7U 4271
50,40,J3V 6880
90,78,Q2S 8004
110,103,Z9F 3702
110,96,Y6A 4909
40,26,E5C 7981
150,140,W9V 9745
50,38,P2R 3324
80,72,Z1F 8730
150,142,G5M 5321
90,79,J4J 3204
90,75,L9B 1567
130,116,T3Z 5868
120,100,K6E 7786
50,47,I4Z 9190
110,92,J8H 0451
130,127,D6E 7022
50,42,S2W 9855
90,80,P2D 2526
120,114,O2K 7493
40,23,H0Q 1776
130,122,A2M 8218
110,106,M1X 2852
80,61,P1Z 6610
100,90,F1P 9312
150,142,S3R 0750
150,143,U6H 7927
100,90,Y0T 6234
140,127,X0N 6691
140,135,D4V 0289
60,59,F4G 8414
130,116,B5Y 7267
130,126,N9A 8144
50,36,F6S 1124
50,43,P2Z 2207
70,61,V0S 2104
90,87,W6G 5079
100,94,X5Z 8543
60,47,A9U 9783
90,75,B2Y 0731
70,64,J3P 7821
120,116,Z7K 6658
140,124,E7A 0937
110,108,X8H 0748
140,125,M3R 3053
80,60,B2S 1209
150,137,J0N 1887
60,51,M0B 8466
90,90,N4F 6658
100,90,G0V 6926
100,80,K7N 8418
70,67,M0J 7177
40,32,M1L 1619
90,72,E7C 2544
100,100,P8R 4006
40,36,J5B 5783
140,125,Z4W 9769
140,135,G5V 6903
60,44,X4S 0388
150,132,V9W 6651
90,81,O0A 7303
50,49,F2W 8504
70,53,G2P 0762
110,109,U4O 3259
120,106,R3D 0782
140,132,T3Y 4935
80,66,Q9Q 4974
130,125,L0E 2854
40,23,Q8U 1357
70,51,N6P 3333
50,33,R3E 3527
80,69,Y4B 0481
120,114,O1P 1329
60,54,Q2A 4045
80,67,I9I 2982
100,97,Z5Y 0955
110,98,I9E 6040
130,122,W4J 4428
90,76,K8S 8118
70,56,K0G 9935
70,56,T9T 1546
150,148,Q0U 0311
100,97,G4E 9770
120,107,T6F 7867
70,62,U3M 6768
100,82,H5B 4761
60,45,O3Y 9747
100,84,L7K 4364
60,44,S1W 6165
90,87,Y1N 2230
120,101,G8S 8878
130,126,S3L 4589
150,148,T9G 7190
140,140,E9A 6454
90,81,J5R 9317
130,117,P4T 2932
140,120,C8I 2918
40,21,L9O 1776
40,36,I5S 4940
130,112,H3J 7357
90,77,R3F 3075
140,137,Y0Q 9520
100,96,B8O 1126
80,76,I7L 2460
110,105,J9S 8757
80,73,X4P 3255
70,55,N1W 1739
50,45,T3G 6727
110,110,A0B 0107
90,83,D5I 4778
40,26,O2S 4624
100,86,I4C 9173
80,69,H3Y 3258
140,122,U2Y 8643
130,113,Z8N 6655
80,73,K8T 6939
80,77,E3K 5457
50,33,Q4C 8845
140,126,D0L 3271
130,110,S1X 7476
110,93,E2L 7544
40,25,F6J 1772
40,39,S7E 6350
110,110,A6X 9184
110,90,F7Z 5740
140,128,Z0T 1056
150,139,E9E 1233
130,128,H0G 5850
90,70,E3A 6910
50,42,L3A 1353
80,80,J6I 0723
150,147,J8E 1358
70,68,Y3C 7810
100,93,L7V 5215
100,81,Y3J 0923
150,141,O7J 1863
110,90,A3D 0444
50,52,B7J 3692
50,34,N8Q 5698
80,61,I8Q 4458
130,128,M3C 6336
70,50,R1X 2689
40,38,B6Z 6183
60,58,V5T 8508
40,20,A5Y 0241
140,131,U0I 2761
110,105,M7M 4325
50,39,N5P 1120
110,96,W2E 2208
90,80,L1T 4822
150,145,I3U 5765
50,46,L8M 7840
140,132,U4C 8366
40,37,B6S 5269
150,134,H0X 7694
100,84,P4W 1481
120,103,Y6Z 3891
40,29,K6C 9994
110,106,U8U 7880
40,37,S6B 9627
150,137,I8O 2472
40,40,A3T 3200
130,123,R3W 8393
150,146,W0X 1011
150,133,Q1E 7197
140,139,Q7I 3489
100,89,X0X 3247
140,136,V6T 3163
120,106,X4I 2970
120,100,Y7Q 3899
50,34,O6K 1193
110,101,F7R 8143
120,103,L5G 5797
140,124,I2C 0113
70,53,I9Z 4126
120,119,Z0S 0951
40,34,G3B 2306
130,126,D0G 8615
50,40,R9D 6941
40,34,X0L 4866
150,133,V3P 2301
150,147,R2P 0314
130,115,L8V 1768
140,134,G0F 4007
140,123,K3D 8623
110,104,B6O 8152
120,113,C0J 7690
140,139,O5S 5274
50,34,R8P 4700
60,60,Q5I 4113
70,64,L6U 8361
110,108,T6O 6534
140,127,L0I 1257
90,70,H5O 1750
110,92,K1U 3458
40,31,Q4J 1085
90,89,S9Z 4711
50,43,N7G 6552
110,108,W2E 1196
120,120,I9U 4588
130,129,J8K 8143
60,63,C4Q 7474
130,113,R7E 0370
110,110,T3Y 8011
130,130,K9I 2018
60,53,A2J 6894
90,83,Q8Z 1702
40,33,V5Z 0108
110,104,R0Q 6702
80,66,G5E 5714
120,117,Z0V 8684
100,83,L5S 9708
90,80,R2H 3595
100,84,Q2F 1840
120,108,R7E 0802
80,60,H5A 2208
100,89,H2G 9730
100,90,U8M 2346
60,58,O5X 0110
40,28,W1C 8036
80,68,B8P 4729
60,54,A1N 4547
40,34,A5G 5181
90,71,T0L 7652
130,122,J2C 6470
100,96,I2T 0652
140,138,B8P 0463
150,138,Q0Y 9037
50,34,J0U 4922
50,40,A9G 0439
80,72,V8E 6507
120,103,F3A 4377
70,52,Q2Y 9157
60,59,X9X 8382
60,40,P9Z 2427
70,67,T6M 8464
80,64,I3T 7595
100,83,W9K 2841
80,82,W1V 6471
120,118,F9T 3202
90,89,K5K 1593
130,120,P7F 9342
60,48,Z1W 4776
150,143,N5X 4851
60,42,V1P 5450
140,136,H4J 5662
120,120,G9S 0084
140,132,L9K 4727
150,141,O2V 4342
100,83,W1V 6809
80,61,Y9P 2274
140,137,I4I 3339
150,156,X5K 4094
50,45,C6S 0019
120,116,B6B 4848
120,117,C4K 8108
110,92,F5B 4635
80,79,U7T 7792
90,73,V1W 1827
150,133,I9J 9224
110,105,Y7V 6792
90,79,J3Z 6185
70,68,K7X 2718
130,110,Z3L 0035
40,40,F8N 0849
50,48,F4O 3816
50,47,Q0V 8220
130,114,Z1O 7505
130,113,R4H 2041
50,39,K3A 0318
100,100,S6L 2413
100,84,I1Z 1875
140,130,F7S 7472
60,57,E4G 9839
120,110,Q0B 6613
130,123,H7Q 9240
100,96,S7V 5987
110,90,B0S 8890
130,128,G8F 3737
70,57,R8C 4563
150,133,P8T 7412
120,112,Y7Q 2011
60,58,D1D 8377
140,137,T3C 0990
40,24,M3Q 1508
130,126,X3L 3545
140,133,S2W 6479
150,142,G4K 2612
120,116,T2F 7174
80,62,F7D 2965
140,125,Y5T 5887
130,121,M3D 3184
90,85,A9V 1938
50,36,G8F 1071
120,104,W4S 8615
70,67,O7A 4206
70,62,W2A 3756
90,82,B5Z 9079
70,68,V8W 4178
50,32,T0S 0232
110,103,D1E 8882
130,127,G9U 3495
100,93,C7B 6018
140,129,L7Z 8959
150,148,B7X 8822
150,145,G3U 8092
140,121,P7K 5920
100,90,N0L 6619
70,50,O9G 4228
120,113,S3Z 5749
100,99,V8C 9252
130,116,U1M 1104
50,44,D3G 6697
140,123,P4V 1380
110,107,U1R 0766
120,124,H9I 3566
130,130,N2N 9670
110,100,X1S 0227
100,99,A9S 6361
110,91,U8C 1999
140,132,Q6O 7274
40,27,Q3R 2877
80,78,I6W 5564
140,134,B1Z 1904
70,51,L6T 5334
40,21,M8D 3990
60,57,C1Y 7729
150,132,Q1A 0276
60,42,W0W 4614
50,46,M3T 0585
70,62,G2H 2233
80,72,X1Q 5702
70,61,I2U 5464
50,49,Y3B 0036
50,59,C9N 1731
100,96,E7I 7881
120,114,I8O 8207
70,56,C8E 8909
100,87,U4T 9530
90,89,O5K 5132
90,76,F3F 1239
50,33,H4A 5240
130,115,R4U 8892
60,50,M8P 6875
40,26,C0Z 0348
140,120,S1U 0215
80,77,Q0M 6915
140,123,Q8C 6865
110,108,L3R 6060
100,97,E5U 9276
80,68,A0E 7904
110,101,X6V 2510
90,72,S5R 8663
40,28,B4T 7547
60,57,D5P 4893
50,41,G9L 2381
50,30,R4J 6990
120,118,P4M 8635
70,57,O6Q 2152
60,48,L0D 2483
110,91,S1U 6443
40,36,K7C 4026
80,61,K8K 4335
60,42,N4S 6369
50,44,E7Z 9497
50,35,Z7S 9439
60,41,R7D 6314
150,131,N1Q 9454
130,112,L7X 8028
140,120,T9O 2740
40,28,Y4V 0972
40,33,D9V 4369
150,145,K1P 5305
90,83,K1M 3405
70,67,U8T 0593
90,70,P8V 6691
80,64,K9P 4065
60,50,Q0R 4089
150,138,Z3D 7070
70,59,U6Y 9130
150,146,F3D 8216
70,51,U5Z 6987
40,22,E7M 3990
50,46,H0F 7849
130,125,T4O 2720
130,120,X3O 4177
70,52,E5A 9581
100,99,F7Y 1717
80,75,H7Y 5554
70,67,F1T 9313
150,150,Z2X 9343
100,86,T0K 3641
140,137,W3J 7965
60,57,E4C 0475
90,75,Z8Y 1847
110,104,M6N 2384
140,128,Y5V 0677
50,40,E7I 3189
90,83,W2W 1310
70,53,B7U 8912
80,73,Y8X 6721
120,111,S7F 5520
40,34,F1Z 4235
80,80,R9H 8579
110,98,H9S 8663
90,75,G0A 1960
70,59,L3T 4229
110,96,M3D 7845
40,39,D3T 8827
150,145,R2I 3910
150,138,J8F 3369
150,145,P3C 2453
90,76,Q9E 4412
80,72,N0E 4756
70,54,D9Z 4733
130,123,O2G 4788
90,84,E1D 3695
50,43,T4S 7820
150,136,P9W 2377
60,51,O7B 6999
150,147,B9V 0903
70,62,M2G 0385
150,142,B0R 7467
130,127,M5V 1058
50,51,M4C 5586
70,54,J9M 1844
120,114,V7W 9187
80,73,I9H 3367
70,66,E8I 9579
130,115,M2I 1960
80,68,U9O 9903
150,133,Y8E 5400
60,47,A6N 0602
150,141,E1L 7275
120,112,Y4M 8247
60,40,D8K 9172
150,135,E3U 9819
60,53,N0F 4263
130,117,L2V 7250
110,90,H2V 6731
100,90,P7N 4423
80,69,V8M 7140
60,49,W0N 5670
70,61,F0C 5752
140,120,O1X 1886
140,124,H0O 5265
120,109,P1A 6825
70,62,S1G 4730
100,92,G5E 5189
150,140,Z9B 4221
150,136,A8K 7222
80,73,Q4B 6203
90,76,H7E 4194
120,108,Y9M 3715
90,90,W8R 9106
140,130,N3N 8334
110,99,A0M 5543
80,80,L3L 1090
130,110,E3R 5518
90,72,K8K 7288
110,106,L7E 3626
50,38,Y3H 1510
60,50,B0X 0335
100,96,V2I 8280
80,73,O3F 2713
120,104,W6U 6101
70,66,J0E 3050
40,29,S0E 0290
50,38,C5C 6653
50,44,S4P 9351
70,68,B6J 2229
150,148,C6L 8501
100,88,H7A 7255
50,43,N6Y 9256
80,80,Y9X 1376
150,141,T9G 7167
90,73,B6Y 9074
50,46,V0M 7438
80,70,B5F 4451
50,30,U6N 4701
60,59,Z2Q 1853
80,73,W3Y 7555
100,89,X3K 9966
100,85,M7B 2120
50,47,W3U 8681
90,74,A1D 8281
130,111,K4I 4737
150,145,Q3Y 7354
130,130,X4W 6955
40,39,Q1V 9819
150,133,C0O 1334
110,90,P1H 0779
60,51,Z1B 0499
80,71,O7E 1330
80,71,D9S 2303
50,35,R7J 9543
70,67,V3M 1205
60,56,B1A 0927
80,75,T9G 3996
100,87,C4I 6428
100,80,T0C 6178
140,124,W1E 9602
100,86,C1Q 2486
70,66,Z1O 2471
70,53,S8E 4364
40,31,C3I 7290
70,69,F6M 1502
150,148,E9Z 0351
100,94,A8Y 8607
130,111,R9R 9924
140,135,C8F 5146
150,150,Z8Y 2819
110,99,Y9X 2045
100,93,K7N 5629
90,90,D0G 0553
140,134,Q4G 5863
140,128,E6M 4006
110,96,V8H 1311
140,124,P2P 4677
70,61,W0I 6764
100,98,X2N 5858
110,110,D8S 4243
60,44,A2E 0292
90,82,J8W 1402
110,95,O8H 4654
70,53,B7W 5727
100,88,B5B 5045
140,132,P0O 3822
110,107,W5M 5039
50,43,H1J 8327
120,102,P6Y 1599
60,53,B3K 7643
80,61,X7V 9490
130,128,V1B 4337
110,94,Q6B 6676
40,40,O2N 9631
110,93,Q3U 3326
40,31,F1K 5092
140,121,I7R 2354
100,85,X3M 8868
120,107,F2A 4333
120,106,R7A 8392
80,63,Z0D 4763
90,70,D9T 7987
130,126,J9B 3383
90,85,V0Z 3051
140,139,B8Y 3182
110,101,J7R 2346
60,60,D7P 7981
110,91,M6U 9092
150,132,N3Z 6259
50,39,H6O 4073
100,91,Q1J 7967
140,127,Z7R 5752
90,71,Y6G 9981
120,115,W8E 8786
100,89,C0I 8613
110,95,Y7R 2474
70,64,H9O 4726
100,95,Y7G 2802
90,71,D8O 9738
50,35,T7A 0744
70,68,Y3B 2929
90,89,T3R 2121
60,40,B1N 8199
110,97,J6J 5645
110,90,N8J 3511
60,54,V0Y 3976
100,96,I5Z 9881
120,108,D7O 2726
150,135,F8Q 2701
60,54,Z0J 0024
150,134,C4Z 1867
60,59,H2V 9031
50,36,C1P 2116
80,70,N3L 0998
90,81,S2D 6580
60,58,D9D 6191
70,53,H2X 8958
140,136,U8B 8260
50,34,Q1V 7900
70,58,K5L 4986
130,112,C8W 6389
70,54,Y6X 3947
70,61,N3R 8601
110,97,C7Q 1120
80,78,I2V 8230
70,64,I4E 4719
120,110,F6F 5733
130,129,F1M 6040
120,116,G3K 8468
50,30,Z9P 3235
100,97,V6E 3428
110,94,Q3H 1585
130,130,F2L 8174
130,112,I8E 1034
140,135,P4W 9375
50,43,D9I 8417
140,123,Z1E 3259
70,56,E6J 4289
50,43,Q0B 6741
140,123,Y4T 4635
90,77,U1K 8140
150,130,C1N 8798
130,129,M7R 8086
140,125,S5X 1126
60,43,A1R 9891
130,123,H3A 9507
110,91,D3D 5834
150,132,L1A 2644
150,147,U5I 5247
150,133,T0Q 0449
40,24,Q1J 9646
130,110,E2N 1976
50,39,V5N 2606
130,113,Z5P 4828
110,92,N4G 3813
80,76,L4N 5070
150,131,Q5X 8251
150,143,K9X 6835
140,121,F0G 3421
40,29,N5D 2139
110,95,Z3Q 2603
110,96,U7D 5629
100,87,N1M 1265
50,43,X6D 4437
150,136,O9K 1939
90,88,O9L 0331
150,132,C9M 4671
120,112,X0N 0587
80,73,C0G 2077
90,73,G2Z 7501
110,95,G6L 6450
50,48,K4L 3444
130,119,D4S 9993
100,90,V9V 3726
150,141,F8F 7236
90,88,P1X 6149
60,57,I5X 7735
80,79,H5X 7392
120,102,I3Y 8784
80,74,A4X 7079
90,76,B2K 5029
100,89,B3A 7082
40,40,A7G 6199
100,95,F5W 3345
40,34,K6I 8132
60,41,P1O 8941
80,72,W8G 0501
150,148,N7T 0422
110,93,N9K 2490
50,49,G6M 4496
40,21,H4R 6794
100,100,W5Y 2445
150,147,G6I 7479
110,98,O2Q 5936
50,32,C4H 8808
130,120,V2Z 4350
140,122,S7K 2675
150,139,I3R 4423
130,126,Y4M 0788
150,148,I9B 9565
80,60,G6U 1124
90,89,T1G 4962
70,59,U1M 9469
150,134,X8V 2031
140,120,M7P 8101
80,75,S8K 5933
140,140,C5T 3323
130,122,W2I 8978
140,123,C3X 7620
60,49,S1X 6681
100,86,M6X 5470
50,35,I8Y 4472
150,138,M5Y 1934
60,45,E2P 2310
50,33,J2J 0809
80,68,T0V 5855
90,77,V7R 1630
60,47,D1Z 8483
140,139,D2R 2888
70,53,A2X 9105
90,79,N9H 5713
140,124,S5C 4303
40,40,K9Y 8425
50,49,L2T 7671
100,97,A6R 1743
70,67,S7L 2049
40,25,F9Q 1311
100,99,A6B 2166
130,130,A4R 0266
40,33,B5B 8407
120,120,S1U 1877
40,28,E5W 3186
120,102,C0Y 8218
80,68,R5X 8035
110,91,U4O 6556
60,55,Q5L 0140
90,86,U6R 6828
70,63,K6W 8723
100,86,M8V 0594
130,112,S9V 5830
90,70,M1C 5829
80,65,Y2R 7746
80,79,P0W 7286
120,118,Y8L 9459
150,140,L8P 4933
120,115,I8D 8304
140,138,W4T 0450
70,53,G6P 3609
90,75,W8D 7508
140,134,P3K 2056
130,128,I3F 7953
40,40,R3I 1180
120,115,U1U 3833
150,142,N4Q 2063
130,123,C9M 4221
50,44,N6Y 2876
40,23,L2V 3956
120,113,Y9D 0814
40,23,U9Z 1573
140,137,U6X 4422
120,114,L3O 7645
150,144,N9P 2296
60,69,C3B 0613
120,112,M4X 5791
130,119,Y7K 4603
90,90,O7P 1616
80,63,I6Q 6519
90,90,S5X 4220
80,72,A7Y 2848
90,83,Q1H 5165
50,42,I6Z 1903
150,138,H4L 7167
80,62,R8S 4195
150,131,Q6O 8205
100,88,F2E 7244
40,30,T5Q 6601
80,64,C9P 5850
40,28,W9S 4740
110,99,C3A 3333
70,56,O0Q 1221
130,127,Q6Y 2661
120,111,R9K 4197
40,27,G7E 1325
100,94,K7K 3528
80,80,U7U 3100
140,125,X0D 6336
80,70,M0K 9190
50,39,O4Y 0595
120,118,U1Z 5927
140,131,I3S 5768
50,31,F6K 5840
40,33,E0M 8420
100,98,W8T 8673
50,30,G5Q 1123
90,87,J7K 7837
60,53,S8M 9714
70,51,O9X 2296
130,116,I2N 9701
110,102,Q8C 8409
70,50,L6B 0838
70,59,O3M 4368
90,74,Z9F 0540
40,34,K4O 6230
70,59,B1T 3748
100,81,H4F 8082
140,120,N9W 4770
130,121,W9J 2744
80,75,P3F 7938
50,49,O4J 8013
90,81,A4V 6131
100,98,Z6E 2533
100,81,W1Q 4814
120,117,J3U 8481
130,115,J6E 2849
140,135,Q8W 8014
150,141,J6T 6644
130,114,D5U 4302
140,140,J5Z 9206
150,145,P6X 9569
80,69,W8E 4253
